Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
CA8,0.382145394752548,0.513788305012687,0.679195454740204,8.874512,8.492367,1,1
RTKN2,0.378893638328043,0.513880463999207,0.679261454878636,8.633984,8.255091,1,1
MSTN,0.381850652235411,0.513986840191098,0.679346235322016,8.877988,8.496137,1,1
TNRC6A,1.44598477700399,0.514060176114357,0.679387335466173,19.145136,17.699151,1,1
PADI6,0.395366423917885,0.514137818858067,0.679434120328088,9.097018,8.701652,1,1
STAT5A,0.449402859372666,0.51439747371982,0.679721407107262,13.147571,12.698168,1,1
MLANA,-0.383324347662204,0.514695144027556,0.680011895665908,7.552473,7.935798,1,1
EGR4,0.430664917220286,0.514701866316636,0.680011895665908,11.17235,10.741685,1,1
ZMAT5,0.415238693679049,0.51480365029786,0.680090506069058,10.78157,10.366332,1,1
CIAO2A,0.545230120377454,0.515103367333913,0.680360078844026,14.868433,14.323203,1,1
RASA1,-0.560667212004272,0.515131267617531,0.680360078844026,16.979731,17.540398,1,1
